urls,timestamp,record_id,titles,host_name,property_types,prices_per_night,location,ratings,num_reviews,cleaning_fee,baños,maximum_guests,dormitorios,camas,check_in_hour,check_out_hour,total_hours_checkin
https://www.airbnb.es/rooms/1279034995385137358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020960331&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967139_P3pUTIbR9KT-cztP&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1279034995385137358,Este alojamiento tiene una ubicación estratégica: será muy fácil planear tu visita!número de registrohutb-739472,David,Habitación,56.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,,,,1.0,17:00,11:00,7.0
https://www.airbnb.es/rooms/1252048973669419171?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967140_P30ZFhvMwGjW92jR&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1252048973669419171,"Disfruta del encanto de este alojamiento tranquilo y céntrico.una habitación muy luminosa con acceso a la terraza. esta en el corazón de barcelona, muy bien conectado con el transporte publico y a 20 minutos caminando de la playa.número de registroexempt",Lili,Habitación,78.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,1.0,,1.0,1.0,,,
https://www.airbnb.es/rooms/1281862042839396079?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967140_P3RJOWWGDAzUvyey&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1281862042839396079,"Descubre barcelona desde nuestro acogedor y totalmente equipado apartamento en planta baja situado a pocos pasos de la icónica rambla. con una cómoda cama doble y todas las comodidades necesarias para una estancia de corta duración, este apartamento es tu base ideal. sumérgete en la vibrante cultura local, explora los mercados y relájate en los cafés cercanos. el lugar es para personas con buen rollo! experimenta barcelona como un lugareño desde nuestro apartamento. te damos la bienvenida!el espaciobienvenido a nuestro acogedor apartamento, ubicado en el vibrante corazón de barcelona, a pocos pasos de la famosa rambla. este apartamento es perfecto para tu estancia de corta duración, ofreciendo una cómoda cama doble y todas las comodidades que necesitas para sentirte como en casa.entra y disfruta de la calidez y comodidad de este espacio totalmente equipado. nuestro apartamento ofrece todos los elementos básicos, como una cocina totalmente equipada, un baño limpio y moderno y una zona de estar cómoda. la ubicación lo es todo en barcelona, y nuestro apartamento no decepciona. ubicado a un tiro de piedra de la rambla, estarás en el centro de todo. explora los mercados locales, relájate en los cafés cercanos o camina por las bulliciosas calles, sumérgete en la rica cultura e historia de la ciudad.te invitamos a experimentar barcelona desde nuestro apartamento cómodo y bien ubicado. tanto si estás en la ciudad para una visita corta como para una estancia prolongada, te ofrecemos todo lo que necesitas. te damos la bienvenida a casa!número de registroexempt",Joonas,Alojamiento entero,104.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,1.0,,1.0,1.0,15:00,12:00,9.0
https://www.airbnb.es/rooms/1268657459243021614?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-14&check_out=2024-11-19&source_impression_id=p3_1730967140_P3UTODTvbD0zveTc&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1268657459243021614,"No se permiten fiestas!!!disfruta de lo mejor de barcelona en este apartamento justo en el punto central de la ciudad!!! cerca del emblemático arco del triunfo, parque de la ciutadella, la rambla, plaza catalunya y passeig de gracia. justo delante de los lugares de interés más famosos, tiendas y restaurantes. pasa unas vacaciones fructíferas en barcelona eligiendo el centro de la ciudad como punto de partida! el apartamento es ideal para parejas o familias, viajeros individuales o grupos de amigos sin planes de fiesta.el espacioel apartamento incluye un dormitorio doble y un dormitorio con 2 camas individuales. 2 baños. además, encontrarás una sala con tv y aire acondicionado, comedor y cocina totalmente equipada. los huéspedes tendrán acceso a todo el apartamento y sus comodidades. son libres de usar todas las partes del apartamento. el piso tiene todo lo que uno necesita para una estancia más larga, incluyendo lavadora, todos los utensilios necesarios en la cocina. se proporciona toda la ropa de cama y toallas. también se proporcionan secador de pelo, hervidor de agua y plancha.número de registrohutb-144145",Viki,Alojamiento entero,114.0,,0.0,0.0,50.0,2.0,,2.0,3.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1277705142024688819?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2019829020&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967140_P3ivDc0odtyMATsA&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1277705142024688819,"Esta acogedora habitación doble está equipada con una cómoda cama doble, perfecta para una relajante estancia en barcelona. cuenta con una ventana que permite la entrada de luz natural, creando un ambiente cálido y acogedor. además, dispone de un armario para que puedas guardar tus pertenencias con comodidad. a solo unos pasos de la estación de metro urquinaona, tendrás fácil acceso a todas las maravillas que la ciudad tiene para ofrecer. tu refugio perfecto te espera!número de registroexempt",Carmen Luisa,Habitación,51.0,,0.0,0.0,0.0,,,,1.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1238225325406228053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967140_P39CbKMvnbhCV7UA&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1238225325406228053,Disfruta de la sencillez de este alojamiento tranquilo y céntrico.número de registroexempt,Smarthome,Habitación,70.0,"Barcelona, Cataluña, España",0.0,0.0,0.0,2.0,,4.0,4.0,14:00,,10.0
https://www.airbnb.es/rooms/1191246562601358453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730967140_P30-0_DDgq4vh6cL&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1191246562601358453,Disfruta de una estancia estupenda en este apartamento en el bullicioso corazón de barcelonanúmero de registrohutb-013596,Zac,Alojamiento entero,180.0,"Barcelona, Catalunya, España",0.0,0.0,50.0,2.0,,3.0,3.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/562839724400270795?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-16&check_out=2024-11-21&source_impression_id=p3_1730967140_P30YZnyyp9ob6TOa&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,562839724400270795,"Maravilloso apartamento histórico en el corazón del famoso barrio de el born, cerca de la basílica de santa maría, el museo picasso y la nueva galería moca, así como de todos los increíbles bares, restaurantes y boutiques que caracterizan el barrio. este es un apartamento tradicional con vigas de madera, suelos de baldosas, obras de arte locales y muebles de época, pero combinado con una gran cocina y baño, electrodomésticos modernos y aire acondicionado helado.el espacioel apartamento cuenta con una cocina y sala de estar combinadas con un sofá cama muy cómodo para invitados adicionales, una cocina totalmente equipada con electrodomésticos modernos, una mesa de comedor para 4 personas, una silla fácil y un smart tv de samsung con netflix. hay un dormitorio independiente separado, un área de entrada y un baño separado con ducha a ras de suelo, inodoro y un lavabo grande. el apartamento está en la planta superior y es muy luminoso y aireado, con mucha luz del sol de la mañana vertiendo a través de las ventanas. ocasionalmente se puede disfrutar de los sonidos de las campanas de santa maría del mar. el apartamento ha sido recientemente reformado y ha sido construido, decorado y amueblado para reflejar la naturaleza histórica del edificio. hay una combinación de suelos de madera y los azulejos 'hidráulicos' originales que son exclusivos de barcelona. la cocina hecha a mano a medida tiene una superficie de trabajo de mármol blanco y está totalmente equipada con todos los electrodomésticos habituales; nevera-congelador, horno, vitrocerámica, lavavajillas y un conjunto completo de sartenes de alta calidad, vajilla y utensilios.a lo largo del apartamento, los techos tienen vigas de madera expuestas y techos tradicionales de baldosas catalanas. el dormitorio principal tiene grandes puertas y persianas de madera que se abren para mostrar una vista de la calle, y una cama doble supercómoda.el departamento cuenta con un sistema de aire acondicionado por conductos integrado de alta gama que mantiene una agradable temperatura fresca en verano, y también calienta el espacio durante el invierno.hay una lavadora de carga superior en el apartamento, oculta en un armario en el pasillo, con líquido de lavado proporcionado.servicios y zonas comunesel huésped tendrá todo el apartamento para ellos. se accede al apartamento mediante una escalera común y un vestíbulo de entrada a nivel de la calle.otros aspectos destacablestenga en cuenta que el apartamento está en la planta superior de un edificio muy antiguo. la escalera es muy antigua y no cumple con el mismo estándar que el apartamento y es una gran subida (definitivamente un buen entrenamiento!) si las escaleras son un desafío, este puede no ser el lugar para ti, pero si disfrutas del ejercicio, vale la pena el beneficio de un apartamento en el último piso en el casco antiguo, donde las propiedades más bajas tienen poca luz y mucho ruido de la calle.número de registroexempt",Robert,Alojamiento entero,140.0,,0.0,0.0,80.0,1.0,,1.0,2.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1137554366128569898?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1962926847&search_mode=regular_search&check_in=2024-11-08&check_out=2024-11-13&source_impression_id=p3_1730967148_P3i0x8Wrwyh3tHuy&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,1137554366128569898,Haz base en este alojamiento y estarás a un paso de los lugares más interesantes.número de registroexempt,Steven,Habitación,40.0,"Barcelona, Catalunya, España",4.12,17.0,0.0,,,,2.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1239353939252642805?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1988427769&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967148_P38gQ32Db5cK8E0z&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,1239353939252642805,"Pequeña habitación acogedora, tiene 9 metros cuadrados, hay una cama litera , un armario y una cómoda pequeña, las ventanas dan al frente, con rejas de hierro, la habitación no tiene cerradura personal. el baño es compartido con otros huéspedes, hay cocina, nevera y microondas para comidas preparadas.el espaciola casa está en una zona céntrica y tranquila, hay dos líneas de metro cerca, parada de autobús, 5 paradas a sagrada familia, 7 paradas a plaza catalunya, muy cerca de los jardines de gaudí.durante tu estanciacon chat arbnbotros aspectos destacablesno se puede beber alcohol ni fumar en la casa, después de las 23:00 hay un momento de tranquilidad en la casa.número de registroexempt",Mate,Habitación,23.0,"Barcelona, Catalunya, España",4.33,9.0,5.0,,2.0,3.0,2.0,12:00,10:00,12.0
