property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Habitación,60.0,0.0,0.0,10.0,,2.0,0.5,2.0,,,,0,0,0,0,1,1,1,0,2,0,1,1,2
Alojamiento entero,115.0,4.8,0.0,50.0,1.0,1.0,1.0,4.0,900.0,600.0,9.0,0,3,1,0,5,4,1,0,1,0,0,0,1
Alojamiento entero,80.0,5.0,5.0,90.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1,6,3,4,12,9,1,0,2,0,0,0,2
Habitación,31.0,4.46,46.0,0.0,,1.0,0.5,1.0,900.0,660.0,9.0,1,3,2,1,9,3,0,0,2,0,1,0,0
Alojamiento entero,105.0,4.87,0.0,60.0,2.0,3.0,1.0,4.0,840.0,660.0,10.0,1,2,2,3,9,6,1,2,2,0,0,0,2
Habitación,50.0,4.76,74.0,0.0,1.0,1.0,2.0,2.0,900.0,,9.0,0,0,1,0,1,0,0,0,1,0,0,1,0
Habitación,37.0,4.33,24.0,0.0,1.0,,0.5,1.0,840.0,660.0,10.0,0,0,1,0,1,0,0,0,1,0,1,0,0
Habitación,60.0,5.0,4.0,0.0,1.0,2.0,1.0,1.0,840.0,720.0,10.0,0,5,1,0,0,5,0,0,1,0,0,0,1
Habitación,52.0,0.0,0.0,50.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,0,0,0,1,1,0,0,1,0,1,0,1
Alojamiento entero,90.0,4.65,97.0,70.0,1.0,4.0,1.0,4.0,900.0,660.0,9.0,3,3,2,1,12,8,1,3,1,4,0,0,3
Alojamiento entero,103.0,0.0,2.0,0.0,2.0,2.0,1.0,4.0,,,,0,1,2,0,12,1,1,0,1,1,0,0,0
Habitación,51.0,0.0,0.0,0.0,1.0,,0.5,2.0,900.0,660.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,32.0,4.51,81.0,0.0,,1.0,0.5,1.0,780.0,660.0,11.0,0,4,2,0,2,0,0,0,2,0,1,0,0
