prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
50.0,0.0,0.0,45.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
95.0,4.97,0.0,40.0,1.0,1.0,1.0,2.0,540.0,1140.0,15.0,1.0,4.0,2.0,1.0,9.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
101.0,4.55,697.0,0.0,1.0,3.0,1.0,3.0,840.0,660.0,10.0,2.0,2.0,2.0,0.0,6.0,5.0,1.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0
84.0,4.62,529.0,50.0,2.0,4.0,1.0,4.0,840.0,600.0,10.0,1.0,3.0,4.0,1.0,12.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
36.0,0.0,2.0,25.0,1.0,1.0,0.5,2.0,840.0,660.0,10.0,1.0,5.0,2.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0
90.0,4.83,587.0,38.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,2.0,5.0,2.0,1.0,12.0,9.0,2.0,1.0,2.0,6.0,0.0,4.0,4.0,0.0,0.0
55.0,4.92,0.0,10.0,1.0,1.0,0.0,2.0,780.0,660.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0
66.0,4.67,451.0,50.0,1.0,2.0,1.0,2.0,840.0,600.0,10.0,2.0,3.0,4.0,0.0,9.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,4.75,4.0,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
26.0,4.6,425.0,0.0,1.0,10.0,0.5,1.0,900.0,660.0,9.0,2.0,1.0,2.0,0.0,8.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
