Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Camas,Baños,Maximum_guests,Dormitorios
Mate,Habitación,24.0,Horario de llegada: de 12:00 a 14:00,Salida antes de las 10:00,5.0,"Barcelona, Catalunya, España",4.5,8.0,2.0,,2.0,3.0
Alvie,Habitación,50.0,Llegada a partir de las 15:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",4.53,19.0,1.0,,2.0,
Joan,Alojamiento entero,160.0,Llegada a partir de las 14:00,Salida antes de las 11:00,40.0,"Barcelona, Catalunya, España",0.0,0.0,3.0,1.0,4.0,2.0
David,Habitación,57.0,Horario de llegada: de 17:00 a 2:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Nanou,Alojamiento entero,85.0,Llegada a partir de las 15:00,Salida antes de las 12:00,35.0,"Barcelona, Catalunya, España",4.33,27.0,1.0,1.0,2.0,
Lfdg Hostels,Habitación,25.0,Horario de llegada: de 15:00 a 2:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España",4.54,353.0,12.0,,1.0,
Anders,Alojamiento entero,88.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,50.0,,4.63,528.0,4.0,1.0,4.0,2.0
Unite Hostel,Habitación,29.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,,4.44,389.0,1.0,,1.0,
Robinson,Alojamiento entero,108.0,Máximo 6 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,92.0,"Barcelona, Catalunya, España",0.0,0.0,3.0,2.0,6.0,3.0
Carmen Luisa,Habitación,47.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 11:00,50.0,,0.0,0.0,2.0,,2.0,
Valerie,Alojamiento entero,150.0,Llegada a partir de las 15:00,Salida antes de las 11:00,130.0,,0.0,0.0,4.0,2.0,8.0,4.0
Oscar Y Susana,Alojamiento entero,106.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,38.0,,4.83,587.0,3.0,1.0,4.0,2.0
Natalia,Habitación,46.0,Llegada a partir de las 15:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Anders,Alojamiento entero,76.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,50.0,,4.61,469.0,2.0,1.0,3.0,2.0
Ashley,Alojamiento entero,102.0,Horario de llegada: de 14:00 a 23:00,Salida antes de las 10:00,87.0,"Barcelona, Catalunya, España",0.0,0.0,3.0,1.0,4.0,2.0
Carlos,Alojamiento entero,90.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,70.0,,4.65,96.0,4.0,1.0,4.0,1.0
Anders,Alojamiento entero,69.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,50.0,,4.67,451.0,2.0,1.0,2.0,1.0
Anna,Habitación,101.0,Llegada a partir de las 14:00,Salida antes de las 11:00,,"Carrer d'En Fontrodona, 15, 08004 Barcelona, Spain",4.55,693.0,3.0,1.0,3.0,1.0
Lorenzo And  Cristina,Alojamiento entero,135.0,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,50.0,"Barcelona, Catalunya, España",0.0,0.0,,1.0,2.0,1.0
Yevhen,Alojamiento entero,217.0,Llegada a partir de las 15:00,Salida antes de las 11:00,45.0,"Barcelona, Catalunya, España",4.68,28.0,3.0,1.0,6.0,3.0
Generator,Habitación,32.0,Horario de llegada: de 14:00 a 0:00,Salida antes de las 10:00,,,4.31,949.0,,,1.0,
Flavio,Alojamiento entero,99.0,Llegada a partir de las 16:00,Salida antes de las 12:00,65.0,,4.61,495.0,3.0,1.0,4.0,2.0
Johan,Habitación,55.0,Horario de llegada: de 13:00 a 22:00,Salida antes de las 11:00,10.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Gaston,Habitación,17.0,Llegada a partir de las 15:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",3.77,26.0,4.0,,1.0,
Alvaro,Habitación,50.0,Llegada a partir de las 15:00,Máximo 1 huésped,20.0,"Barcelona, Catalunya, España",4.68,47.0,1.0,,1.0,
Iggy,Habitación,38.0,Horario de llegada: de 14:00 a 20:00,Salida antes de las 10:00,32.0,"Barcelona, Catalunya, España",4.81,54.0,1.0,,2.0,
Marcelo,Alojamiento entero,100.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 11:00,50.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,3.0,1.0
Junith,Alojamiento entero,100.0,Horario de llegada: de 15:00 a 19:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",4.63,8.0,3.0,2.0,5.0,3.0
Homeaway,Habitación,62.0,Llegada a partir de las 13:00,Máximo 1 huésped,20.0,"Barcelona, Cataluña, España",0.0,2.0,1.0,,1.0,
Irina,Alojamiento entero,108.0,Horario de llegada: de 16:00 a 23:00,Salida antes de las 11:00,50.0,"Barcelona, Catalunya, España",4.62,47.0,,1.0,4.0,2.0
Sandra,Alojamiento entero,100.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,110.0,,4.33,108.0,7.0,2.0,5.0,4.0
Sabrina,Habitación,41.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 11:00,35.0,"Barcelona, Catalunya, España",0.0,0.0,,,1.0,1.0
Ashley,Alojamiento entero,98.0,Llegada a partir de las 14:00,Salida antes de las 10:00,84.0,"Barcelona, Catalunya, España",4.0,18.0,2.0,1.0,5.0,2.0
Noelia Y Fabiola,Alojamiento entero,125.0,Llegada a partir de las 15:00,Salida antes de las 11:00,65.0,,0.0,0.0,3.0,1.5,6.0,2.0
BLAU Student Housing,Alojamiento entero,113.0,Llegada a partir de las 16:00,Salida antes de las 12:00,35.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,1.0,1.0
Michel,Alojamiento entero,77.0,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,50.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,3.0,2.0
Jana,Alojamiento entero,97.0,Llegada a partir de las 15:00,Salida antes de las 11:00,40.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,2.0,1.0
Santiago,Habitación,50.0,Llegada a partir de las 15:00,Máximo 1 huésped,15.0,,0.0,0.0,1.0,,1.0,
Natan,Habitación,37.0,Llegada a partir de las 15:00,Salida antes de las 10:00,15.0,"Barcelona, Catalunya, España",4.62,101.0,1.0,,2.0,
Alerson,Habitación,46.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,15.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,,2.0,
Sara,Alojamiento entero,140.0,Horario de llegada: de 16:00 a 22:00,Salida antes de las 11:00,120.0,,0.0,0.0,5.0,1.0,6.0,3.0
Lfdg Hostels,Habitación,24.0,Horario de llegada: de 15:00 a 2:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España",4.6,423.0,10.0,,1.0,
Roman,Alojamiento entero,115.0,Llegada a partir de las 15:00,Salida antes de las 10:00,50.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,4.0,1.0
Marta+Paul,Alojamiento entero,80.0,Llegada a partir de las 15:00,Salida antes de las 11:00,90.0,,5.0,5.0,1.0,1.0,2.0,1.0
David Nicolas,otro,103.0,Llegada a partir de las 16:00,Salida antes de las 11:00,75.0,"Barcelona, Catalunya, España",4.75,4.0,1.0,1.0,2.0,1.0
Carlos,Alojamiento entero,125.0,Horario de llegada: de 15:00 a 19:00,Salida antes de las 11:00,75.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,2.0,1.0
